id,program,competency_code,training_topic,material_type,scheduled_date
57,MDP,TOR,Thinking Outside of the Box & Risk Taking,1,2026-01-15
58,MDP,TOR,Thinking Outside of the Box & Risk Taking,2,2026-06-01
59,MDP,LDC,Leadership & Decision Making,1,2026-02-01
60,MDP,LDC,Leadership & Decision Making,2,2026-06-15
61,MDP,RSC,Resilience,1,2026-02-15
62,MDP,RSC,Resilience,2,2026-07-01
63,MDP,ACH,Achievement & Action,1,2025-10-22
64,MDP,ACH,Achievement & Action,2,2026-03-08
65,MDP,CIO,Customer & Innovation Orientation,1,2025-11-08
66,MDP,CIO,Customer & Innovation Orientation,2,2026-03-22
67,MDP,RBG,Result Based Goal Setting,1,2025-11-22
68,MDP,RBG,Result Based Goal Setting,2,2026-04-08
69,MDP,RSF,Result Focused Self-Leadership,1,2025-12-08
70,MDP,RSF,Result Focused Self-Leadership,2,2026-04-22
71,MDP,LDP,Leadership Performance,1,2025-12-22
72,MDP,LDP,Leadership Performance,2,2026-05-08
73,MDP,DIR,Directing People,1,2026-01-08
74,MDP,DIR,Directing People,2,2026-05-22
75,MDP,COM,Communication,1,2026-01-22
76,MDP,COM,Communication,2,2026-06-08
77,MDP,BAC,Building & Cooperation,1,2026-02-08
78,MDP,BAC,Building & Cooperation,2,2026-06-22
79,MDP,CFO,Customer Focus,1,2026-02-22
80,MDP,CFO,Customer Focus,2,2026-07-01
81,FDP,EMP,Empathy,1,2025-11-15
82,FDP,EMP,Empathy,2,2026-01-15
83,FDP,LAG,Learning Agility,1,2025-12-15
84,FDP,LAG,Learning Agility,2,2026-02-15
85,FDP,DCM,Data-Driven Decision Making,1,2025-10-22
86,FDP,DCM,Data-Driven Decision Making,2,2026-02-22
87,FDP,RSC,Resilience,1,2025-11-01
88,FDP,RSC,Resilience,2,2026-03-01
89,FDP,FLX,Flexibility,1,2025-11-08
90,FDP,FLX,Flexibility,2,2026-03-15
91,FDP,SIO,Strategic & Innovation Orientation,1,2025-11-22
92,FDP,SIO,Strategic & Innovation Orientation,2,2026-03-22
93,FDP,TOR,Thinking Outside of the Box & Risk Taking,1,2025-12-01
94,FDP,TOR,Thinking Outside of the Box & Risk Taking,2,2026-04-01
95,FDP,CIO,Customer & Innovation Orientation,1,2025-12-15
96,FDP,CIO,Customer & Innovation Orientation,2,2026-04-15
97,FDP,RBG,Result Based Goal Setting,1,2025-12-22
98,FDP,RBG,Result Based Goal Setting,2,2026-04-22
99,FDP,CSO,Collaboration & Social Intelligence,1,2026-01-01
100,FDP,CSO,Collaboration & Social Intelligence,2,2026-05-01
101,FDP,ACH,Achievement & Action,1,2026-01-15
102,FDP,ACH,Achievement & Action,2,2026-05-15
103,FDP,ACT,Acting Strategically,1,2026-01-22
104,FDP,ACT,Acting Strategically,2,2026-05-22
105,FDP,IDS,Influence & Developing Self,1,2026-02-01
106,FDP,IDS,Influence & Developing Self,2,2026-06-01
107,FDP,COM,Communication,1,2026-02-15
108,FDP,COM,Communication,2,2026-06-15
